Date,Open,High,Low,Close,Volume,Adj Close
2016-09-16,166.00,168.25,159.10001,162.20,11305300,162.20
2016-09-15,166.20,166.89999,162.00,165.60001,8663500,165.60001
2016-09-14,165.89999,166.80,160.60001,165.85001,17809700,165.85001
2016-09-13,161.30,161.30,161.30,161.30,000,161.30
2016-09-12,167.39999,176.30,158.50,161.30,28341200,161.30
2016-09-09,176.00,176.64999,170.70,171.25,8131300,171.25
2016-09-08,174.80,177.85001,173.70,175.30,8909500,175.30
2016-09-07,178.20,180.80,172.64999,173.60001,15020000,173.60001
2016-09-06,173.70,175.80,172.85001,174.60001,5841800,174.60001
2016-09-05,172.25,172.25,172.25,172.25,000,172.25
2016-09-02,170.64999,173.10001,167.20,172.25,7542600,172.25
2016-09-01,169.35001,172.00,168.55,170.20,6972800,170.20
2016-08-31,174.50,176.50,169.30,170.00,10220900,170.00
2016-08-30,174.50,176.30,173.10001,175.20,6658500,175.20
2016-08-29,169.00,174.00,167.55,173.35001,6398200,173.35001
2016-08-26,170.75,171.85001,167.30,169.25,5697400,169.25
2016-08-25,175.95,176.50,169.20,169.89999,9613500,169.89999
2016-08-24,175.00,177.60001,174.70,176.00,6394400,176.00
2016-08-23,176.05,177.45,171.39999,174.05,7534300,174.05
2016-08-22,178.80,179.10001,175.14999,176.60001,8706600,176.60001
2016-08-19,174.55,180.64999,173.30,179.30,16779200,179.30
2016-08-18,171.64999,173.70,171.10001,172.89999,8317400,172.89999
2016-08-17,169.14999,172.70,168.39999,171.10001,10205200,171.10001
2016-08-16,166.50,170.64999,164.39999,169.45,10439000,169.45
2016-08-15,166.20,166.20,166.20,166.20,000,166.20
2016-08-12,162.39999,167.50,162.39999,166.20,9611600,166.20
2016-08-11,164.05,164.30,158.39999,161.39999,9943200,161.39999
2016-08-10,164.95,167.39999,161.80,164.45,8756200,164.45
2016-08-09,170.00,170.39999,163.60001,165.05,10560900,165.05
2016-08-08,170.20,173.35001,168.95,169.55,11899100,169.55
2016-08-05,163.70,170.75,163.35001,169.10001,15902500,169.10001
2016-08-04,160.00,162.89999,157.75,161.64999,11027800,161.64999
2016-08-03,158.00,159.70,155.30,157.20,13402000,157.20
2016-08-02,165.30,166.25,153.70,156.25,20703700,156.25
2016-08-01,163.10001,168.50,163.10001,165.95,15226100,165.95
2016-07-29,168.95,168.95,163.50,164.64999,15941000,164.64999
2016-07-28,169.30,170.95,165.64999,169.50,16698300,169.50
2016-07-27,171.00,171.64999,165.14999,168.45,16517800,168.45
2016-07-26,172.10001,174.14999,168.70,169.75,16787400,169.75
2016-07-25,169.00,175.50,162.64999,172.14999,39676100,172.14999
2016-07-22,158.00,172.39999,155.25,169.30,31609500,169.30
2016-07-21,162.39999,162.50,156.14999,157.10001,12308000,157.10001
2016-07-20,161.05,162.95,159.75,161.70,14496000,161.70
2016-07-19,160.35001,162.14999,157.30,160.20,22238000,160.20
2016-07-18,164.39999,164.70,158.70,160.14999,14730400,160.14999
2016-07-15,166.25,168.30,162.05,163.35001,20500000,163.35001
2016-07-14,164.55,166.00,160.64999,164.00,24921300,164.00
2016-07-13,161.39999,174.89999,159.75,163.55,57395400,163.55
2016-07-12,150.10001,162.35001,150.10001,159.80,27905600,159.80
2016-07-11,146.05,149.20,145.89999,148.64999,11368700,148.64999
2016-07-08,145.00,145.64999,140.89999,143.10001,15146300,143.10001
2016-07-07,138.20,145.20,138.05,143.45,15847800,143.45
2016-07-06,137.10001,137.10001,137.10001,137.10001,000,137.10001
2016-07-05,138.25,139.60001,135.85001,137.10001,9306600,137.10001
2016-07-04,135.95,139.60001,135.70,138.64999,10782100,138.64999
2016-07-01,132.95,136.85001,132.45,135.20,13121800,135.20
2016-06-30,128.60001,133.00,127.80,131.95,16574400,131.95
2016-06-29,125.00,128.20,124.20,127.35,14886000,127.35
2016-06-28,122.95,123.90,121.90,123.15,10398600,123.15
2016-06-27,116.40,123.50,116.30,122.35,17210500,122.35
2016-06-24,118.45,122.20,107.65,117.85,30189300,117.85
2016-06-23,126.30,127.90,124.65,126.60,13094000,126.60
2016-06-22,125.35,127.20,122.60,126.75,12348200,126.75
2016-06-21,129.00,129.85001,124.75,125.45,14054500,125.45
2016-06-20,121.35,129.39999,120.90,128.50,13686700,128.50
2016-06-17,123.35,123.80,121.50,122.55,11999600,122.55
2016-06-16,118.60,123.00,118.05,122.45,21007400,122.45
2016-06-15,115.50,120.20,115.40,119.70,18001800,119.70
2016-06-14,113.80,115.80,113.25,114.75,9483200,114.75
2016-06-13,114.65,115.40,112.40,113.95,10592800,113.95
2016-06-10,115.05,117.65,114.50,116.80,21166500,116.80
2016-06-09,112.50,116.25,112.00,112.80,20634700,112.80
2016-06-08,110.00,112.50,108.10,112.00,15680700,112.00
2016-06-07,107.30,110.70,105.90,110.05,13331600,110.05
2016-06-06,104.20,107.35,103.45,106.25,9878200,106.25
2016-06-03,107.25,107.60,103.85,104.65,7715200,104.65
2016-06-02,103.40,107.20,103.35,106.75,10946700,106.75
2016-06-01,109.00,109.00,104.55,105.05,10583100,105.05
2016-05-31,106.85,109.70,103.80,108.55,26753000,108.55
2016-05-30,104.50,107.45,104.15,106.50,13290600,106.50
2016-05-27,104.40,105.90,102.10,102.80,9723300,102.80
2016-05-26,99.50,105.00,98.70,104.05,13595900,104.05
2016-05-25,98.90,99.70,97.40,99.30,7487300,99.30
2016-05-24,98.00,98.00,94.05,96.80,9406000,96.80
2016-05-23,98.70,99.20,96.75,97.50,8645600,97.50
2016-05-20,95.20,98.10,95.20,96.95,14789800,96.95
2016-05-19,98.80,100.75,94.30,94.95,14073300,94.95
2016-05-18,98.75,99.70,97.55,99.25,9778800,99.25
2016-05-17,102.00,102.25,99.55,100.05,11223500,100.05
2016-05-16,98.80,100.40,97.10,99.95,13218000,99.95
2016-05-13,101.00,102.30,97.25,98.00,17046800,98.00
2016-05-12,101.20,103.35,100.35,102.90,13214300,102.90
2016-05-11,98.75,101.95,97.50,99.65,18704000,99.65
2016-05-10,101.70,102.70,99.85,100.60,16516800,100.60
2016-05-09,104.70,107.00,103.10,103.70,12763900,103.70
2016-05-06,103.50,104.60,102.50,103.55,16425200,103.55
2016-05-05,104.10,105.80,101.50,104.70,20323800,104.70
2016-05-04,108.00,109.40,103.55,104.65,29178500,104.65
2016-05-03,112.00,113.95,109.30,110.00,32881300,110.00
2016-05-02,102.50,111.60,102.25,110.70,30150700,110.70
2016-04-29,100.75,104.90,100.75,103.80,28769500,103.80
2016-04-28,104.35,105.30,99.15,99.80,20809200,99.80
2016-04-27,106.90,107.70,104.05,104.85,11531800,104.85
2016-04-26,101.10,107.00,101.10,106.45,17799300,106.45
2016-04-25,105.00,105.00,100.55,102.00,13065200,102.00
2016-04-22,104.30,106.45,103.90,104.90,13016500,104.90
2016-04-21,107.65,108.90,104.30,105.05,17949400,105.05
2016-04-20,98.60,107.15,98.60,106.35,45063700,106.35
2016-04-19,97.50,97.50,97.50,97.50,000,97.50
2016-04-18,94.50,97.80,92.30,97.50,21003300,97.50
2016-04-15,94.00,94.00,94.00,94.00,000,94.00
2016-04-14,94.00,94.00,94.00,94.00,000,94.00
2016-04-13,92.55,95.25,92.30,94.00,23361300,94.00
2016-04-12,90.30,91.35,89.00,90.60,13494700,90.60
2016-04-11,88.50,90.70,88.50,90.30,17129900,90.30
2016-04-08,85.00,88.15,84.80,87.45,13625200,87.45
2016-04-07,87.65,88.35,85.25,85.80,11434900,85.80
2016-04-06,86.40,88.75,86.25,87.55,15523500,87.55
2016-04-05,89.65,89.85,85.20,85.85,17524000,85.85
2016-04-04,90.65,91.90,89.95,90.65,14099200,90.65
2016-04-01,89.75,91.60,87.55,90.05,16729800,90.05
2016-03-31,94.00,96.50,89.20,89.85,42058100,89.85
2016-03-30,89.20,92.90,88.65,91.65,20691500,91.65
2016-03-29,87.00,89.20,86.05,87.70,19503400,87.70
2016-03-28,97.35,97.35,87.35,87.95,32066000,87.95
2016-03-25,96.85,96.85,96.85,96.85,000,96.85
2016-03-24,96.85,96.85,96.85,96.85,000,96.85
2016-03-23,96.35,98.20,95.95,96.85,19598400,96.85
2016-03-22,94.50,97.15,93.50,96.20,20152900,96.20
2016-03-21,93.20,94.85,92.45,94.00,20991900,94.00
2016-03-18,88.25,93.25,87.50,92.30,33295900,92.30
2016-03-17,88.70,89.70,85.55,86.25,16128700,86.25
2016-03-16,87.95,87.95,84.75,86.30,20523000,86.30
2016-03-15,88.95,90.80,87.10,88.10,19485700,88.10
2016-03-14,89.45,90.50,88.05,89.00,14238300,89.00
2016-03-11,87.20,89.00,85.75,87.35,18135800,87.35
2016-03-10,89.30,91.20,87.65,88.25,24244500,88.25
2016-03-09,85.95,88.35,84.35,87.85,24719700,87.85
2016-03-08,88.50,92.60,88.50,90.35,28395900,90.35
2016-03-07,87.40,87.40,87.40,87.40,000,87.40
2016-03-04,85.70,90.15,83.30,87.40,29371300,87.40
2016-03-03,79.65,85.60,78.30,83.95,32996100,83.95
2016-03-02,77.00,80.65,76.55,78.15,21388400,78.15
2016-03-01,71.90,75.50,70.60,74.95,20776400,74.95
2016-02-29,72.60,76.75,69.55,70.60,24081800,70.60
2016-02-26,70.60,72.50,69.40,71.80,13968900,71.80
2016-02-25,71.30,72.40,69.35,69.60,13218900,69.60
2016-02-24,71.00,72.65,70.50,70.90,12668800,70.90
2016-02-23,73.95,75.75,72.15,73.05,20696000,73.05
2016-02-22,74.60,75.35,72.65,74.10,12623500,74.10
2016-02-19,74.00,75.60,73.00,74.65,15573800,74.65
2016-02-18,75.55,77.70,72.60,75.85,31891500,75.85
2016-02-17,71.00,74.95,66.80,74.40,28889900,74.40
2016-02-16,77.00,77.00,70.80,71.35,27386300,71.35
2016-02-15,66.20,75.80,66.20,75.00,36827400,75.00
2016-02-12,63.30,64.75,58.15,63.25,28898100,63.25
2016-02-11,66.80,67.00,61.50,62.30,16613600,62.30
2016-02-10,68.45,69.20,65.10,67.25,17468300,67.25
2016-02-09,69.55,72.15,68.85,69.75,19567600,69.75
2016-02-08,73.80,75.60,71.00,71.70,21661200,71.70
2016-02-05,67.95,74.40,67.75,73.90,41473400,73.90
2016-02-04,63.65,68.90,63.10,67.75,34744100,67.75
2016-02-03,63.80,64.10,60.35,61.65,24379200,61.65
2016-02-02,70.50,70.70,64.30,64.90,18680500,64.90
2016-02-01,72.70,72.70,69.40,70.40,13223900,70.40
2016-01-29,69.05,72.85,68.70,71.75,43989800,71.75
2016-01-28,64.25,67.80,63.75,67.30,32606500,67.30
2016-01-27,65.25,66.00,63.60,63.80,26241300,63.80
2016-01-26,64.40,64.40,64.40,64.40,000,64.40
2016-01-25,66.20,66.80,64.20,64.40,18539800,64.40
2016-01-22,64.50,66.70,63.10,64.70,36038400,64.70
